0.ID,1.filename,2.icon,3.name,4.hiraname,5.age,6.sex,7.job,8.color,9.hp,10.mp,11.san,12.db,13.str,14.con,15.pow,16.dex,17.app,18.siz,19.int,20.edu,21.skill,22.setting,23.scenario,24.driverCom,25.managerCom,26.bossCom,27.spiritualCom,28.warcrimCom,29.creatorCom,30.maker,31.height,32.sibling,33.fumble,34.critical
1,Kiyora.html,,きよら,,17,女,JK,レッド　#FF0000,15/15,13/13,64/65,1d4,10,14,13,14,16,16,10,14,CCB<={SAN} 【SAN値チェック】$CCB<=50 【アイデア】$CCB<=65 【幸運】$CCB<=50 【STR * 5】$CCB<=70 【知識】$CCB<=80 【APP * 5】$CCB<=70 【ショックロール】$ccb＜=70　目星$ccb＜=55　聞き耳$ccb＜=41　芸術（服飾）$ccb＜=21　フランス語  　$ccb＜＝31  ドイツ語$ccb＜=60　写真術$ccb＜=90　言いくるめ(威圧)$ccb＜=89　日本刀$ccb＜=50　格闘(キック)$ccb ＜=5     クトゥルフ神話,極道の娘$ハーフ,毒入りスープ$ゲームは一日一時間$遊園地は死で遊ぶ$セーラー服を脱がさないで$デッドマンズエスケイプショウ,日本刀かっこよかった…,かわいい。ニーフリットをよろしく。,強者,強い,男共以上の安心感,地味に初めて作った探索者,,182,兄がいる妹,,
2,Tsuchiki_Tsutomu.html,,土木工,つちきつとむ,19,男,土木工事作業員,フォレストグリーン　#288C66,11/11,11/11,48/55,1d4,13,6,11,14,8,17,16,11,ccb＜=48　San$ccb＜=80   アイデア$ccb＜=55   幸運$ccb＜=55   知識$ccb＜=65   目星$ccb＜=50   聞き耳$ccb＜=45  図書館$ccb＜=80  機械修理$ccb＜=71  重機械操作$ccb＜=80  拳$ccb＜=70  杖（シャベル）$ccb＜=45  制作（日曜大工）　$ccb＜=50  応急手当$ccb＜=42  クトゥルフ神話技能,優しいお兄ちゃん$弟と妹がいて、今は妹と二人暮らし$高卒で就職,人魚の願い$果てにて$傀逅,,しっかりしてるよな,,,,初期の性癖,,191,妹と弟がいる兄,,
3,Ki_Akeru.html,,紀伊明瑠,きいあける,26,男,鍵師,#F0E68C,12/12,10/10,37/50,-1d4,4,12,10,16,10,12,14,16,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=50 【幸運】$CCB<=20 【STR * 5】$CCB<=80 【知識】$CCB<=50 【APP * 5】$CCB<=60 【ショックロール】$CCB<=84 【鍵開け】$CCB<=70 【隠れる】$CCB<=80 【聞き耳】$CCB<=55 【図書館】$CCB<=80 【目星】$CCB<=35 【機械修理】$CCB<=72 【製作(鍵)】$CCB<=35 【電気修理】$CCB<=50 【経理】$CCB<=31 【電子工学】,鍵・鍵開けオタク,山羊座の牧師は独りぼっち,,,,,,,,169,一人っ子,,
4,Sashihara_Aoko.html,,刺原青子,さしはらあおこ,25,女,刺青彫師,バイオレット　#5A4498,13/13,12/12,60/60,0,13,14,12,15,13,11,12,17,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=60 【幸運】$CCB<=65 【STR * 5】$CCB<=85 【知識】$CCB<=65 【APP * 5】$CCB<=70 【ショックロール】$ccb＜＝85　目星$ccb＜＝55　聞き耳$ccb＜＝70　図書館$ccb＜＝65  医学$ccb＜＝80  芸術$ccb＜＝50   拳銃$ccb＜＝57   英語$ccb＜＝65  心理学$ccb＜＝65  言いくるめ$ccb＜＝21  クトゥルフ神話$ccb<=5　芸術（演技）,医大中退,迫り来る闇$どうしよう、人殺しちゃった$酒は飲んでも飲まれるな$紅の幻想$なつまつり$ハロウィンワンナイトクルーズ$スモーキンバラッド$（喫煙所）$探索者ピックアップガチャ$Dの信仰,,安定感,,かわいい,タレ目が良い,使い勝手がいい,,159,一人っ子,2,2
5,Harada_Saku.html,,原田朔,はらださく,25,男,外科医,ムーングレイ　#D4D9DC,11/11,13/13,39/65,0,11,10,13,11,12,11,9,19,CCB<={SAN} 【SAN値チェック】$CCB<=45 【アイデア】$CCB<=65 【幸運】$CCB<=55 【STR * 5】$CCB<=95 【知識】$CCB<=60 【APP * 5】$CCB<=50 【ショックロール】$CCB<=70 【拳銃】$CCB<=60 【応急手当】$CCB<=40 【聞き耳】$CCB<=75 【図書館】$CCB<=70 【目星】$CCB<=60 【言いくるめ】$CCB<=61 【外国語（英語）】$CCB<=20 【外国顔（ドイツ語）】$CCB<=80 【医学】$CCB<=1 【クトゥルフ神話】$CCB<=20 【芸術(バイオリン)】$CCB<=40 【心理学】$CCB<=21 【薬学】,医療系家族の落ちこぼれ,幸謳う病$コマドリの葬列【HO1】$貴方は私を二度殺すのね$その髄に君を呼ぶ$Because\ Baby\ I love you.$灰になってよかった$（たたら）,あんまり覚えがない,落ちこぼれやったんか,おじちゃーん☆☆☆！！！,,悪してるとこ観たいぜ,今のところ割といい人,,165,兄が二人いる弟,,
6,Kano_Ryosuke.html,,狩野猟輔,かのりょうすけ,31,男,暗殺者,涅色　#554738,15/15,11/11,55/55,0,11,18,11,3,8,11,16,12,幸運55$アイデア80$知識60$目星  60$聞き耳  99$図書館  25（初期値）$ライフル  90$生物学  72$隠れる 60$ナイフ  70$追跡   40$製作（罠）35,元猟師$左足が無い,はらぺこあおむし$太古の座敷牢$（愛飢ゑヲワル）,,お騒がせな二人がお世話になりました,もうちょっとおしゃべりしたい,,傷痕広がってそう,RPむずい,,169,,,
7,Kuruma_Tsukasa.html,,久留間掌,くるまつかさ,46,男,車掌,紺　#202F55,15/15,6/6,30/30,0,7,14,6,12,10,16,10,14,ccb＜＝80　目星$ccb＜＝50    聞き耳$ccb＜＝50　図書館$ccb＜＝50　応急手当$ccb＜＝50　精神分析$ccb＜＝90　心理学$ccb＜＝51　組付$ccb＜＝71　重機械操作$ccb＜＝35　ナビゲート,運が悪い,混沌を運ぶ者$無開,不憫おじさんかぁいい,かぁいいねぇ,かわいそうだったなぁ,,顔が良い顔が,設定が好き,,186,弟がいる兄,,
8,Kuruma_Takushi.html,,久留間拓志,くるまたくし,38,男,タクシー運転手,暗黒色　#16160E,13/13,12/12,55/60,1d4,9,10,12,17,14,16,14,15,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=60 【幸運】$CCB<=45 【STR * 5】$CCB<=75 【知識】$CCB<=70 【APP * 5】$CCB<=50 【ショックロール】$CCB<=40 【組み付き】$CCB<=50 【こぶし（パンチ）】$CCB<=30 【応急手当】$CCB<=50 【聞き耳】$CCB<=55 【図書館】$CCB<=80 【目星】$CCB<=80 【運転(自動車)】$CCB<=55 【機械修理】$CCB<=65 【ナビゲート】$CCB<=70 【信用】$CCB<=25 【医学】$CCB<=75 【心理学】$CCB<=30 【博物学】,殺人鬼$掌の弟,雨の日のタクシー$とある幸せな家族の話$【HO1】,,ぱぱあああああああああああああああああ,楽しかったなぁ,俺のパパ…,俺の旦那,父ロール楽しい,,187,兄がいる弟,,
9,Kiyota_Sojiro.html,,清田掃除郎,きよたそうじろう,22,男,大学生兼特殊清掃員,灰色　#9E9E9E,13/13,18/18,78/90,1d4,15,15,18,10,11,11,13,16,ccb<=65  アイデア$ccb<=80 知識$ccb<=90  幸運$ccb＜＝90　投擲$ccb＜＝90　回避$ccb＜＝71　薬学$ccb＜＝80　掃除（芸術）$ccb＜＝75　目星$(ccb＜＝25　聞き耳)$ccb＜＝39　精神分析$ccb＜＝31　法医学$ccb＜＝45　隠す$ccb<=2  クトゥ神$ccb<=57 拳$ccb＜＝35 図書館$ccb<=30 機械修理,鈍感,white room-矛盾本能-$密室シェアハウス【HO1】$極楽浄土に棲む魚ver上司$ワンルーム・ディスコン$【HO3】$(たたら),惹ちゃんの敵,わしの子からしたら特に敵ではない,やばい,地雷トラウマ製造機,邪悪なルフィ,よく馴染む,,168,一人っ子,2,0
10,Jyoshima_Shirase.html,,情島報,じょうしましらせ,23,女,記者兼情報屋,橙色　#EE7800,10/10,12/12,60/60,1d4,13-1,7,12,8,14,13,17,14,ccb＜＝90　目星$ccb＜＝80　聞き耳$ccb＜＝80　図書館$ccb＜＝50　言いくるめ$ccb＜＝30　心理学$ccb＜＝40　写真術$ccb＜＝60　追跡$ccb＜＝30   英語$ccb＜＝35　法律$ccb＜＝50　信用,好奇心旺盛$マスゴミ,私、友蔵の孫の友人です。,また会いたいな,あまり一緒になりたくないよね,NPCありKPの時に来てほしくない,無邪気,1情島で3狂人有るから常識人連れて来ざるおえない,記者ロール楽しい,,167,一人っ子,,
