0.ID,1.filename,2.icon,3.name,4.hiraname,5.age,6.sex,7.job,8.color,9.hp,10.mp,11.san,12.db,13.str,14.con,15.pow,16.dex,17.app,18.siz,19.int,20.edu,21.skill,22.setting,23.scenario,24.driverCom,25.managerCom,26.bossCom,27.spiritualCom,28.warcrimCom,29.creatorCom,30.maker,31.height
1,Hanaya_Mio.html,,花家澪,はなやみお,20,女,放射線学科2年生,#5DCCAB,13/13,13/13,65/65,1D4,14,11,13,8,10,15,12,12,ccb<=65　幸運$ccb<=60　アイデア$ccb<=60　知識$ccb<=70　目星$ccb<=65　聞き耳$ccb<=60　図書館$ccb<=60　応急手当$ccb<=45　心理学$ccb<=45　医学$ccb<=20　信用$ccb<=31　他の言語(英語)$ccb<=50　写真術$ccb<=35　機械修理$ccb<=50　キック$ccb<=40　組付き$ccb<=16　回避,ホラー・オカルト好き$ネトスト気味$千夜の実況見てる,white room-矛盾本能-　$Because\ Baby\ I love you.,最初の子。ほぼ自分。,かわいい,そのうちすごいことしそう（期待）,運転手感すごい、好き,,好きなので頻出して欲しい,上司,180
2,Kirishima_Chiyo.html,,霧島千夜,きりしまちよ,20,女,法学科2年生/ゲーム実況者,#6E3FE7,12/12,12/12,59/60,0,7,11,12,12,10,13,12,13,ccb<=60　幸運$ccb<=60　アイデア$ccb<=65　知識$ccb<=75　目星$ccb<=55　聞き耳$ccb<=65　図書館$ccb<=45　歌唱$ccb<=21　コンピューター$ccb<=45　心理学$ccb<=30　説得$ccb<=20　電気修理$ccb<=24　回避$ccb<=45　隠れる$ccb<=40　応急手当$ccb<=35　オカルト$ccb<=40　歴史$ccb<=40　法律$ccb<=30　キック,萌え声ホラー実況主$特技エゴサ,私、友蔵の孫の友人です。,実況者要素出すのムズイ。,かわいい,せんぱーい！！！,麻宮でもっと絡み倒したい,,頼りになる,,170
3,Kandachi_Hinata.html,,神立陽,かんだちひなた,19,男,配達員,#FAB80D,14/14,11/11,53/55,1D4,14,10,11,9,12,17,9,12,ccb<=55　幸運$ccb<=45　アイデア$ccb<=60　知識$ccb<=25　図書館$ccb<=55　目星$ccb<=75　聞き耳$ccb<=30　機械修理$ccb<=21　重機械操作$ccb<=25　電気修理$ccb<=40　ナビゲート$ccb<=15　値切り$ccb<=40　信用$ccb<=50　運転(車)$ccb<=40　運転(バイク)$ccb<=43　回避$ccb<=50　組付き$ccb<=65　キック,能筋陽キャ$地頭よわよわその1$2歳年下の妹がいる$セーラー服を脱がすな！,混沌を運ぶ者$ONCE FOR BOTH【PC2】$セーラー服を脱がさないで$カタシロ$Life goes on,使い勝手◎。かわいい。,うちの完をよろしく,これからもいっぱい遊んであげるね☆,発狂で女装癖引こう？ね？？,カラーリング、女装好き,女装,https://picrew.me/image_maker/17569,193
4,Amagase_Itsuki.html,,天ケ瀬依義,あまがせいつき,24,男,警察官→Fαng隊員,#880223,15/15,10/10,50/50,1D4,12,16,10,10,6,14,12,14,ccb<=50　幸運$ccb<=60　アイデア$ccb<=70　知識$ccb<=70　聞き耳$ccb<=40　目星$ccb<=50　図書館$ccb<=40　応急手当$ccb<=50　キック$ccb<=60　拳銃(S&W M39)$ccb<=55　アサルトライフル(SCAR-L)$ccb<=60　こぶし$ccb<=15　言いくるめ$ccb<=30　心理学$ccb<=30　説得$ccb<=40　追跡$ccb<=35　法律$ccb<=36　マーシャルアーツ$ccb<=50　投擲$ccb<=50　登攀$ccb<=35　跳躍$ccb<=30　運転(車),強面の元警察官$顔の傷は猫のせい$サバゲ―が趣味$ストレスによる色弱$Fαng所属,壊胎,君がヒーローになるんだよ,かっこいいよ～,,かっこよかったよ,お世話になりました～,キャラデザ一番好き,一生懸命探してるけど見つからないのでなくなった説濃厚,179
5,Wakaba_Hina.html,,若葉惹,わかばひな,19,女,アイドル→大学生,#FFCACE,12/12,10/10,50/50,1D4,12,9,10,6,17,13,11,12,ccb<=50　幸運$ccb<=55　アイデア$ccb<=60　知識$ccb<=50　聞き耳$ccb<=70　目星$ccb<=40　図書館$ccb<=35　説得$ccb<=45　心理学$ccb<=36　変装$ccb<=10　芸術(歌唱)$ccb<=60　芸術(ダンス)$ccb<=45　言いくるめ$ccb<=40　写真術$ccb<=50　隠れる,元アイドルHiNα$家事が出来ない$ダンスが上手い$元二重人格(殺人鬼)$今は大学生,密室シェアハウス【HO2】$果てにて$素晴らしき新年,つらい。,ご、ごめん、、、,ご、ごめん、、、,ゆるさんその1、くそかわ、この子見てると感情がジェットコースター,ご、ごめん、、、,ご、ごめん、、、,"https://picrew.me/image_maker/278121
メーカー削除済み",173
6,Yoimachi_Hatate.html,,宵町涯,よいまちはたて,26,男,俳優,#094078,14/14,14/14,60/60,1D4,9,11,14,9,15,16,15,14,ccb<=70　幸運$ccb<=75　アイデア$ccb<=70　知識$ccb<=65　図書館$ccb<=45　聞き耳$ccb<=61　目星$ccb<=30　言いくるめ$ccb<=35　運転(車)$ccb<=40　芸術(演劇)$ccb<=45　心理学$ccb<=40　説得$ccb<=41　変装$ccb<=45　跳躍$ccb<=50　登攀$ccb<=41　マーシャルアーツ$ccb<=65　キック$ccb<=64　こぶし$ccb<=45　アサルトライフル(AKM)$ccb<=40　拳銃(45口径リボルバー)$ccb<=40　クトゥルフ神話,俳優　宵待迅人$アクション得意$ヘタレ$怜ちゃん大好き,傀逅$シュガーレス・ハッピーバレンタイン,怜と幸せになってくれ～。,幸せになって,友達になりたい,まじで好き結婚しよ。,相棒、祝儀ははずむぜー,怜ちゃんを守ってね,"https://picrew.me/image_maker/26311
メーカー削除済み",186
7,Uruha_Megu.html,,漆葉繚,うるはめぐ,20,女,アイドル→女優,#91ABD0,11/11,8/8,40/40,0,5,9,8,15,18,13,15,12,ccb<=40　幸運$ccb<=75　アイデア$ccb<=60　知識$ccb<=60　聞き耳$ccb<=50　目星$ccb<=55　図書館$ccb<=55　応急手当$ccb<=61　精神分析$ccb<=35　説得$ccb<=50　心理学$ccb<=36　変装$ccb<=50　芸術(歌唱)$ccb<=10　芸術(ダンス)$ccb<=30　言いくるめ$ccb<=30　写真術$ccb<=30　隠れる,元アイドルMeG$惹に依存気味$お歌が上手い,海も枯れるまで【HO1】,しんどい。,幸せになって,多分おそらく中身の人がきっと楽しかったんだろう,ゆるさんその2、健気、この子見てるだけで感情がジェットコースター。,美しい殺意,陸のこと忘れないで,"https://picrew.me/image_maker/278121
メーカー削除済み",175
8,Mihoshi_Raimu.html,,望星儡夢,みほしらいむ,20,男,パチ屋アルバイト,#F3A016,8/13,13/13,49/65,1D4,11,11,13,12,10,14,8,9,ccb<=65　幸運$ccb<=40　アイデア$ccb<=45　知識$ccb<=60　目星$ccb<=60　聞き耳$ccb<=25　図書館$ccb<=15　言いくるめ$ccb<=44　回避$ccb<=10　経理$ccb<=25　心理学$ccb<=55　説得$ccb<=45　値切り$ccb<=65　キック$ccb<=60　こぶし$ccb<=20　隠れる,夢はカジノディーラー$地頭よわよわその2$難しいことはわからない,沼男は誰だ？【HO4】,夢見せてあげたかった…,姫芽子はあなたを忘れない,★,ああ、同卓したかったな…,主人公力カンスト,映画館でも仲良くしてね,https://picrew.me/image_maker/10948,177
9,Mikurube_Aki.html,,三廻部燿,みくるべあき,23,女,体育教師,#E43F3B,12/12,9/9,29/45,0,14,13,9,7,12,11,13,16,ccb<=45　幸運$ccb<=65　アイデア$ccb<=80　知識$ccb<=70　目星$ccb<=75　聞き耳$ccb<=50　図書館$ccb<=45　心理学$ccb<=50　説得$ccb<=25　医学$ccb<=16　天文学$ccb<=34　回避$ccb<=45　水泳$ccb<=60　応急手当$ccb<=75　キック$ccb<=65　こぶし$ccb<=55　隠す$ccb<=55　隠れる$ccb<=45　跳躍$ccb<=45　投擲,ニコニコした体育教師$バスケ部顧問$天文部副顧問$元いじめっ子$独身,ソープスクール【HO2】,あきちゃんつおい。,ごめん。すこ,正直よう絡んどらんねん、すまん,私の好きな先生に似てる,生態系の最上位種,長々考察しちゃうくらいには好き,創造主,164
10,Narukami_Kyoya.html,,鳴咬侠矢,なるかみきょうや,26,男,ヤクザ,#002FA7,14/14,11/11,34/55,1D4,12,12,11,14,7,15,9,16,ccb<=55　幸運$ccb<=45　アイデア$ccb<=80　知識$ccb<=65　目星$ccb<=35　聞き耳$ccb<=75　図書館$ccb<=45　言いくるめ$ccb<=60　隠す$ccb<=45　心理学$ccb<=45　値切り$ccb<=40　芸術(イカサマ)$ccb<=75　キック$ccb<=60　こぶし$ccb<=50　経理$ccb<=50　法律$ccb<=4　クトゥルフ神話,地頭よわよわその3$字がきれい,落園$たたら,本当にいい子なんです…。,,ぐっとらっく,,,侠矢…………,"https://picrew.me/image_maker/32223
メーカー削除済み",183
11,Utsuho.html,,空,うつほ,24,男,組織工作員,#4DD7E3,11/11,12/12,60/60,0,10,9,12,10,10,13,15,21,ccb<=60　幸運$ccb<=75　アイデア$ccb<=95　知識$ccb<=45　目星$ccb<=30　聞き耳$ccb<=75　図書館$ccb<=60　応急手当$ccb<=61　精神分析$ccb<=55+10　医学$ccb<=41+10　薬学$ccb<=35+50　心理学$ccb<=31+10　化学$ccb<=31+10　生物学$ccb<=20+10　博物学$ccb<=31+10　英語$ccb<=21+10　ドイツ語$ccb<=35+10　法律$ccb<=65　こぶし$ccb<=55　キック$ccb<=52+20　拳銃$ccb<=35　言いくるめ$ccb<=11　隠れる$ccb<=5　クトゥルフ神話,記憶喪失$好きなお菓子：金平糖$自分勝手$博学$強くてニューゲーム,NOBODY*2【HO2】,大好き。RPくそ楽しい。,かわいいね,,世界を変えてしまった共犯。一緒に色々頑張って行きたい,かわいい、お兄ちゃんと仲良くね,色々とずるい、だがそこがいい,創造主,172
12,Kasumi_Utsuho.html,,霞巳空,かすみうつほ,17,男,高校2年生,#4DD7E3,11/11,12/12,55/60,0,10,9,12,10,10,13,15,10,ccb<=60 幸運$ ccb<=75 アイデア$ ccb<=50 知識$ ccb<=45 目星$ ccb<=30 聞き耳$ ccb<=75 図書館$ ccb<=50 応急手当$ ccb<=51 精神分析$ ccb<=35+50 心理学$ ccb<=31+10 化学$ ccb<=31+10 生物学$ ccb<=10+10 博物学$ ccb<=21+10 英語$ ccb<=11+10 ドイツ語$ ccb<=25+10 法律$ ccb<=65 こぶし$ ccb<=55 キック$ ccb<=35 言いくるめ$ ccb<=11 隠れる,好きなお昼：メロンパン$好きなお菓子：金平糖$好きな飲み物：いちご牛乳,NOBODY学園,りんたろー…(´;ω;｀),見守ってるよ,,,,どの世界線でも愛しい弟,創造主,172
