0.ID,1.filename,2.icon,3.name,4.hiraname,5.age,6.sex,7.job,8.color,9.hp,10.mp,11.san,12.db,13.str,14.con,15.pow,16.dex,17.app,18.siz,19.int,20.edu,21.skill,22.setting,23.scenario,24.driverCom,25.managerCom,26.bossCom,27.spiritualCom,28.warcrimCom,29.creatorCom,30.maker,31.height
1,Nefrit.html,https://lh3.googleusercontent.com/XScxHCGxp5l4jG6BtFZ0hYlBJVFKGHyK_v3iEMiIm-DS3B4x3ER2Un9zJBNxZ_OjlUkrY0x9lFDImMvBeuMvtN0CaunYoEl12t_Gtg=w360-h724-rw-sm-pa-nu-v0,ニーフリット,にーふりっと,14,男,中学2年生、ゲーマー,水色 #B2FFFF 黄色 #FFFF00,8/8,12/12,57/60,0,14,7,12,7,11,9,18,12,ccb＜=57　　SAN$ccb＜=60　　幸運$ccb＜=90　　アイデア$ccb＜=60　　知識$ccb＜=75　　目星$ccb＜=80　　聞き耳$ccb＜=50　　図書館$ccb<=3　　クトゥルフ神話$ccb<=14　　回避$ccb<=80　　コンピュータ$ccb<=４２　　隠れる$ccb<=６０　　機械修理$ccb<=３０　　製作（衣装）$ccb<=２５　　英語$ccb<=３０　　日本語$ccb<=６０　　ロシア語$ccb<=２９　　変装$ccb<=５０　　投擲$ccb<=30　　拳銃$ccb<=30　　鍵開け$ccb<=40　　日本刀（ブラックニンジャソード）$１ｄ６＋１＋ｄｂ　ブラックニンジャソード,ロシア出身$男の娘の天才ゲーマー,紅の幻想$ハロウィンワンナイトクルーズ$n回目の初演$英雄たちのフェルンヴェー$デッドレックエンコード$鳥籠のカナリア,管理人って感じ,かわいいね,管理人へのイメージ,元祖男の娘,かわいい…,キャワたん,元 https://picrew.me/image_maker/5090,152.00
2,Tachibana_Hanako.html,https://lh3.googleusercontent.com/PJ0SeepaWlSKjXiv4DwWG22q3pTdpdrfP_59httrmxkmgx45CYwpd-Uc5F835QwURVwriDO3bdR94-qxgo9PZkzqK4mp8GLThkk1rA=w360-h724-rw-sm-pa-nu-v0,立花玻奈子,たちばな　はなこ,21,女,お米農家,#FFB6C1,10/10,11/11,55/55,0,10,9,11,12,9,11,13,9,ccb＜={SAN}　　SAN$ccb＜=55　　幸運$ccb＜=65　　アイデア$ccb＜=45　　知識$ccb＜=55　　目星$ccb＜=40　　聞き耳$ccb<=0    クトゥルフ神話$ccb<=24　　回避$ccb<=45　　製作（穀物）$ccb<=31　　重機械操作$ccb<=50　　応急手当$ccb<=45　　説得$ccb<=60　　運転$ccb<=60　　ショットガン　（中口径ショットガン12ゲージ狩猟用半自動式　装填数3発）$4d6＋2　　ダメージ$ccb<=35　　隠れる$ccb<=45　　博物学$ccb<=35　　投擲$ccb<=,,はらぺこあおむし$遊園地は死で遊ぶ$愛飢ゑヲワル【HO探索者】,,かわいいです,重めのシナリオにいっぺん来てみて欲しい,いろんなのに継続として出よう？,健やかでいて欲しいと同時に曇らせたい,この田舎娘可愛すぎる…！,ぴくるー,154.00
3,Tsubokuda_Hajime.html,,壺久田創,つぼくだ　はじめ,20,男,大学2年生,#FFC107,13/13,14/14,68/70,1d4,10-1,10,14,10,14,15-1,8,13,ccb<={SAN}　　SANチェック$ccb<=70　　幸運$ccb<=40　　アイデア$ccb<=65　　知識$ccb<=65　　目星$ccb=25　　聞き耳$ccb<=25　　図書館$ccb<=6    クトゥルフ神話$ccb<=20　　回避$ccb<=65　　芸術（陶芸）$ccb<=60　　製作（陶芸）$ccb<=40　　歴史$ccb<=41　　MA$ccb<=40　　信用$ccb<=41　　地質学$ccb<=35　　芸術（歌）$ccb<=50　　運転,陶芸家を目指す天然？アホ？頭が弱い？大学二年生$人をすぐ信じてしまう素直な子なのでトラブルに巻き込まれやすい$普通に歌がうまい(歌いながら作業とかしてる)$左腕欠損,Life goes on$なつまつり$極楽浄土に棲む魚ver創造主$芋虫,,私の中で初主人公,一般人1号,かわいい大学生,爽やかビームが撃てる,大学生代表,ぴくるー,182.00
4,Saikai_Atori.html,,斎海花鶏,さいかい　あとり,20,男,精神科医学院2年生,#607D8B,12/12,10/10,44/50,1d4,13,10,10,12,11,14,15,17,ccb＜=50　　SAN$ccb＜=50　　幸運$ccb＜=75　　アイデア$ccb＜=85　　知識$ccb＜=50　　目星$ccb＜=50　　聞き耳$ccb＜=25　　図書館$ccb<=0    クトゥルフ神話$ccb<=24　　回避$ccb<=60　　医学$ccb<=70　　心理学$ccb<=71　　精神分析$ccb<=41　　生物学$ccb<=65　　説得$ccb<=61　　英語$ccb<=56　　ドイツ語$ccb<=70　　キック,精神科（Psychiatry）、花鶏（スズメ目アトリ科アトリ属の鳥類）,white room-矛盾本能-,最初にお世話になった子,本能を理性で押し通してそうで好き,,,冷静で助かる,頭良さそう,ぴくるー,181.00
5,Nora_Rikura.html,,野良陸羅,のら　りくら,,男,カウンセラー,#115537,14/14,15/15,73/75,1d4,13,15,15,10,15,13,13,15,ccb＜={SAN}　　SAN$ccb＜=75　　幸運$ccb＜=65　　アイデア$ccb＜=75　　知識$ccb＜=25　　目星$ccb＜=25　　聞き耳$ccb＜=55　　図書館$ccb<=2    クトゥルフ神話$ccb<=20　　回避$ccb<=90　　言いくるめ$ccb<=90　　心理学$ccb<=81　　英語$ccb<=61　　ドイツ語$ccb<=60　　投擲$ccb<=75　　こぶし$ccb<=50　　キック,のらりくらり,太古の座敷牢,名前好き,最高、もっと回りたい,やべえヤツ,KP側はやりにくいw,まだ遭遇したことないぜ…,次は捌いてみせる,https://picrew.me/image_maker/332327 +加工,175.00
6,Tsubokuda_Tamotsu.html,,壺久田完,つぼくだ　たもつ,22,男,大学4年生,#795548,10/10,10/10,43/50,0,6,7,10,12,11,13,12,12,ccb＜={SAN}　　SAN$ccb＜=50　　幸運$ccb＜=60　　アイデア$ccb＜=60　　知識$ccb＜=75　　目星$ccb＜=25　　聞き耳$ccb＜=25　　図書館$ccb<= 0   クトゥルフ神話$ccb<=24　　回避$ccb<=60　　隠れる$ccb<=60　　忍び歩き$ccb<=51　　精神分析$ccb<=55　　心理学$ccb<=51　　マーシャルアーツ$ccb<=50　　自動車運転$ccb<=60　　ショットガン（２５？　ダメージ1d8）$1d8  ダメージ,サバゲが趣味。,祝祭$混沌を運ぶ者$ONCE FOR BOTH【PC1】,陽が勝手に懐いてる,世界は広いぜ完君よ,もっと見たい,いいね〜,兄弟同時に出せないのがクトゥルフの辛い所,兄弟コンプ期待,https://picrew.me/image_maker/249679/,174.00
7,Refine_Cheeks.html,https://lh3.googleusercontent.com/CTNXLkZmtyyPAVEhgz5reVRSnmS3epaWb_puLVLgeooiMgb1u1xOcPP4vktIa43ly5rk3dCqgzGZp3igXL5rMNVKzioxmGflLF6xPk0=w360-h724-rw-sm-pa-nu-v0,リフィーネ・チークス,りふぃーね・ちーくす,32,女,小説家,#C7B2D6,/13,/11,/55,0,11,13,11,10,18,12,14,20,ccb＜={SAN}　　SAN$ccb＜=55　　幸運$ccb＜=70　　アイデア$ccb＜=95　　知識$ccb＜=60　　目星$ccb＜=55　　聞き耳$ccb＜=50　　図書館$ccb<=0    クトゥルフ神話$ccb<=20　　回避$ccb<=55　　オカルト$ccb<=65　　芸術(文才)$ccb<=75　　心理学$ccb<=49　　フランス語$ccb<=52　　英語$ccb<=52　　ドイツ語$ccb<=50　　歴史$ccb<=60　　応急手当$ccb<=36　　ロシア語$ccb<=50　　キック,雪松麗香$（雪schnee 松kiefer）$↓$Refine Cheeks,コマドリの葬列$スモーキンバラッド,,あなたは一人じゃない,存外天然,中の人と似てるところがある,ギャップ萌え,えちお姉さんの皮を被った純情少女ってイメージがある,ぴくるー,161.00
8,Kurusu_Uru.html,,来栖うる,くるす　うる,18,女,大学1年生,#03A9F4,13/13,12/12,60/60,0,11,13,12,12,6,13,18,11,ccb＜={SAN}　　SAN$ccb＜=60　　幸運$ccb＜=90　　アイデア$ccb＜=55　　知識$ccb＜=70　　目星$ccb＜=75　　聞き耳$ccb＜=75　　図書館$ccb<=0    クトゥルフ神話$ccb<=39　　回避$ccb<=70　　運転（自動車）$ccb<=65　　機械修理$ccb<=61　　コンピュータ$ccb<=60　　投擲$ccb<=65　　キック$ccb<=40　　ショットガン,パソコン系に強い$ファングにて活動中,壊胎,Fαng隊員仲間(別世界),頑張って世界を救って,元気でいて欲しい,うるとら兄弟好きだよ…,強く生きてる,ゆるっとしてるけど主人公,上司,164.00
9,Hijirisawa_Sakunosuke.html,,聖沢咲之介,ひじりさわ　さくのすけ,25,男,ライター,#3F51B5,12/12,11/11,33/55,1d4,16,9,11,8,12,14,13,15,ccb＜={SAN}　　SAN$ccb＜=55　　幸運$ccb＜=65　　アイデア$ccb＜=55　　知識$ccb＜=75　　目星$ccb＜=80　　聞き耳$ccb＜=65　　図書館$ccb<=40    クトゥルフ神話$ccb<=45　　回避$ccb<=50　　言いくるめ$ccb<=20　　写真術$ccb<=46　　心理学$ccb<=30　　追跡$ccb<=46　　英語$ccb<=80　　こぶし$ccb<=60　　キック$ccb<=31　　MA,,傀逅$カタシロ,,どんだけ妹好きやねん,あんま知らんねん,傀逅の一緒に死にたい発言にドキッとした,シスコンなんですかー？,シスコン〜,ぴくるー,178.00
10,Kuruma_Hatoka.html,,久留間鳩歌,くるま　はとか,11,女,小学6年生,#ADFF2F,13/13,10/10,10/50,0(1d4),11,8,10,10,15,11(17),13,6,ccb＜={SAN}　　SAN$ccb＜=50　　幸運$ccb＜=65　　アイデア$ccb＜=30　　知識$ccb＜=65　　目星$ccb＜=75　　聞き耳$ccb＜=65　　図書館$ccb<= 0   クトゥルフ神話$ccb<=20　　回避$ccb<=50　　隠す$ccb<=55　　写真術$ccb<=50　　頭突き,パトカー,薄明$とある幸せな家族の話(小5、10歳)【HO4】$無題 - Untitled,,これからが人生だ,これからが君の物語だ。,私が守るからね、,産んだのは俺です,俺の娘………,上司,153.00
