0.ID,1.filename,2.name,3.hiraname,4.age,5.sex,6.job,7.color,8.hp,9.mp,10.san,11.db,12.str,13.con,14.pow,15.dex,16.app,17.siz,18.int,19.edu,20.skill,21.setting,22.scenario,23.driverCom,24.managerCom,25.bossCom,26.spiritualCom,27.warcrimCom,28.creatorCom,29.maker,30.height
1,Michael.html,ミッシェル・司馬・エルドリッチ,,17,女,,#FFFFFF,,,,,,,,,,,,,ccb<=75 san$ccb<=50 聞き耳$ccb<=70 目星$ccb<=70 アイデア$ccb<=85 知識$ccb<=70 図書館$ccb<=51 精神$ccb<=50 博物$ccb<=50 説得$ccb<=95 医学$ccb<=95 拳銃$ccb<=51 天文$ccb<=11 コンピュータ,17歳ロリータ、天才負けヒロイン、最善解のぬるま湯,紅の幻想$はらぺこあおむし$n回目の初演$なつまつり$殺人　趣味レーター$祝祭$遊園地は死で遊ぶ$混沌を運ぶ者$カタシロ$チョコレイトはいかが？,あんまし覚えてない,戦犯といえば,今後が更に迷走の予感,戦犯本人が出てる気がする,挫折も覚悟も知らないから何も成し遂げられない,麻宮とのコミュニケーションを円滑にするのに必要,❌,166
2,Ando_Yoko.html,晏藤 陽子,あんどうようこ,16,女,,#FFDAA2,,,,,,,,,,,,,,イキリ陰キャぼっち眼鏡、女学生特有の独占欲、古臭いツンデレ,Life gose on$貴方は私を二度殺すのね$果てにて$セーラー服を逃さないで,磨く前の原石ちゃん,成長しがいがありそう,叫んでる時、イイネ☆,水鳥と掛け合いするの楽しい、一生できると思う,友達がいないのは単純に性格が悪いから,垣間見えるデレが最高,○,164
3,Suzushiro_Honoka.html,雪代 仄,すずしろほのか,20,女,,#DCDCDC,,,,,,,,,,,,,,精神が壊滅するほど上がる戦闘力と狂気じみた言動、人生の8割涙目、コベカス,壊胎$密室シェアハウス$極楽浄土に棲む魚ver上司,ほのカス許さねぇ,おもしれー女,コワイ、KP泣かせ2,ほのカスは怖い、地雷,全てにおいて不幸を見出せるのは才能,生きろ、お前は面白い,○,161
4,Joseph _V_Siegheim.html,ジョゼフ・ヴィ・ヨハン・アマデウス・フォン・バルトライン・デ・シャルル・レオンハルト・ラ・ローゼンクランツ・メディチ・プファンクーヘン・イ・アロイス・ジークハイム13世,トマス・ウッズ,41,男,,#9E9C32,,,,,,,,,,,,,,長期発狂10年選手、アメリカ国籍霊幻新隆 ,豪華客船と怪盗団$極楽上司に棲む魚ver創造主,,おっおん…,おっさん,人生楽しそうでうらやま,いずれ現実を直視する時が来る,本人が楽しそうなのでよしとする,,174
5,Utsurogi_Kohaku.html,虚杞 告白,うつろぎこはく,28,男,,#9FC6C1,,,,,,,,,,,,,,嘘つきおぢさん、自分の気持ちに一番嘘ついてたのが敗因,沼男は誰だ？,うさんくせ～し儡夢は嫌い,おじさん…,人生楽しかったね？,わかりにくい優しさと自己愛？,人生の大半を逆張りに費やした,サングラス貸そうか？,,173
6,Oirase_Chinami.html,追入瀬 因,おいらせちなみ,32,？,,#C9B9A8,,,,,,,,,,,,,,後輩をネチネチ揶揄うのが趣味だったが、もうそんなことするのは気まずい,庭師は何を口遊む,,おばさん…,KP的にはあんまり性格悪かったという印象はない,優しい人。,悪いものに成りたくないだけ,ちゃんと強いシーン見たい,,165
7,Arisu_Mashiro.html,愛須 茉白,ありすましろ,19,女,,#EEA0E0,,,,,,,,,,,,,,メスガキ、黒鐘が初彼だったりする,傀逅$シュガーレス・ハッピーバレンタイン,頼れる相棒,がんばれな〜,がんばー,かわいい,予防線貼って生きてきた、ちゃんと傷つけ,あんな男捨てろ,❌,157
8,Kuge_Taori.html,供花 嫋居,くげたおり,33,女、男,,#C97F96,,,,,,,,,,,,,,ふたなりのクソビッチだったが、教え子と純愛に目覚めた結果、独身ルートが強まった,ソープスクール,やってんねぇ！,すごかった,へえ、俺は別に気にはしないけど,KP目線、ふたなりへの情熱強くてびっくりしてた,学生に手出して恥ずかしく無いの？,ふ、ふたなりだと…,❌,
9,Syakadou_Soyogi.html,釈迦堂 梵,しゃかどうそよぎ,15,女,永遠の15歳,#20B2AA,,,,,,,,,,,,,,pixivで、白ワンピ、女の子、000users入り、で検索して出てきた画像がイメージ,海も枯れるまで$さよならの向こう側,,名前が好き,全て、許す,悔しいけど理想の子だわ,追う覚悟が無かったね,夏の幻影,○,162
10,Kuruma_Hirari.html,久留間 救黎,くるまひらり,37,女,,#BEE0C2,,,,,,,,,,,,,,失敗した、失敗した、失敗した、私は失敗した、人生踏んだり蹴ったり、娘は生きてるし、旦那も隣にいるから,アジサイ喫茶店$とある幸せな家族の話,,ままああああああああ,えかったで,ママありがとう、大好き,欲をかいたね,男運が悪い,❌,160
