0.ID,1.filename,2.name,3.icon,4.space
1,character/warcrim/Michael.html,ミッシェル・司馬・エルドリッチ,no,
2,character/warcrim/Ando_Yoko.html,晏藤 陽子,no,
3,character/warcrim/Suzushiro_Honoka.html,雪代 仄,no,
4,character/warcrim/Joseph _V_Siegheim.html,ジョゼフ・ヴィ・ヨハン・アマデウス・フォン・バルトライン・デ・シャルル・レオンハルト・ラ・ローゼンクランツ・メディチ・プファンクーヘン・イ・アロイス・ジークハイム13世,no,
5,character/warcrim/Utsurogi_Kohaku.html,虚杞 告白,no,
6,character/warcrim/Oirase_Chinami.html,追入瀬 因,no,
7,character/warcrim/Arisu_Mashiro.html,愛須 茉白,no,
8,character/warcrim/Kuge_Taori.html,供花 嫋居,no,
9,character/warcrim/Syakadou_Soyogi.html,釈迦堂 梵,no,
10,character/warcrim/Kuruma_Hirari.html,久留間 救黎,no,
11,character/warcrim/Hisame_Maia.html,久女 真彌,no,
12,character/warcrim/Arima_Fumito.html,有馬 文人,no,
13,character/warcrim/Konoe_Tsumiki.html,近江 ツミキ,no,
14,character/warcrim/Tono_Kirie.html,遠野 キリエ,no,
15,character/warcrim/Shizuki_Kasane.html,滋月 累,no,
16,character/warcrim/Araya_Usimitsu.html,荒屋 憂允,no,
17,character/warcrim/Miake_Najimu.html,光明 馴,no,
18,character/warcrim/Caesar.html,シーザー,no,
19,character/warcrim/Takase_Tsukihiko.html,高瀬 尽彦,no,
20,character/warcrim/Katsugi_Takuma.html,荷担 逞,no,
21,character/warcrim/Uei_Southerncross.html,上井 南十字,no,
22,character/warcrim/Suzushiro_Kasumi.html,雪代霞,no,
23,character/warcrim/Isagi.html,些,no,
24,character/warcrim/Yuta.html,ユゥータ,no,
25,character/warcrim/John.html,John,no,
26,character/warcrim/Amida.html,アミダ,no,
27,character/warcrim/Yui.html,ユイ,no,
28,character/warcrim/Hatanaka_Magire.html,畠中紛,no,
29,character/warcrim/Kanadome_Kotonoha.html,京言葉,no,
30,character/warcrim/Ojisan.html,おじさん,no,
31,character/warcrim/Yagusa.html,八草,no,
32,character/warcrim/Otake_akiko.html,大豪商子,no,
33,character/warcrim/Hon_Syuchen.html,哄秀权,no,
34,character/warcrim/Tensai.html,天災,no,
35,character/warcrim/Robot_Deka.html,ロボット・デカ,no,
36,character/warcrim/Suzuki_Sennichi.html,鈴木潜一,no,
